gene_id	normalized_counts
Cgl1839	0
Cgl1838	11.59
Cgl1837	43.63
Cgl1836	166.65
Cgl1835	90.03
Cgl1834	25.53
Cgl1833	73.21
Cgl1832	426.38
Cgl1831	4999.69
Cgl1830	189.3
Cgl1829	2.27
Cgl1828	15.29
Cgl1827	3.78
Cgl1826	52.1
Cgl1825	271.83
Cgl1824	42.64
Cgl1823	345.61
Cgl1822	115.57
Cgl1821	67.3
Cgl1820	176.23
Cgl1819	133.48
Cgl1818	94.21
Cgl1817	91.9
Cgl1816	388.22
Cgl1815	25.36
Cgl1814	305.18
Cgl1813	175.86
Cgl1812	15.2
Cgl1811	93.63
Cgl1810	69.62
Cgl1809	92.03
Cgl1808	75.61
Cgl1807	68.97
Cgl1806	1332.08
Cgl1805	1603
Cgl1804	41.9
Cgl1803	24.84
Cgl1802	8.09
Cgl1801	16.6
Cgl1800	3.97
Cgl1799	21.69
Cgl1798	11.25
Cgl1797	8.35
Cgl1796	14.6
Cgl1795	13.03
Cgl1794	110.54
Cgl1793	20.36
Cgl1792	8.15
Cgl1791	18.49
Cgl1790	19.85
Cgl1789	14.18
Cgl1788	13.35
Cgl1787	67.86
Cgl1786	19.09
Cgl1784	35.51
Cgl1783	50.35
Cgl1782	53.46
Cgl1781	43.71
Cgl1780	24.64
Cgl1779	58.62
Cgl1778	118.43
Cgl1777	253.14
Cgl1776	239.41
Cgl1775	12.21
Cgl1774	5.21
Cgl1773	32.59
Cgl1772	199.62
Cgl1771	10.51
Cgl1770	7.78
Cgl1769	4.78
Cgl1768	12.98
Cgl1767	18.07
Cgl1766	3.84
Cgl1765	12.34
Cgl1762	2.64
Cgl1761	11.99
Cgl1760	6.47
Cgl1759	13.38
Cgl1758	5.94
Cgl1757	11.07
Cgl1756	24.16
Cgl1755	2.66
Cgl1754	11.56
Cgl1753	29.62
Cgl1751	8.55
Cgl1750	7.83
Cgl1749	4.88
Cgl1748	2.36
